"sale_price","sale_date","address","beds","full_baths","half_baths","sqft","acres","lat","long"
660000,2025-09-05,"2690 OVERRIDGE DR, Ann Arbor, MI 48104",0,1,1,1488,0.604,42.261832375162,-83.706577967082
372500,2025-09-05,"1159 PAULINE BLV, Ann Arbor, MI 48103",3,1,0,1058,0.197,42.268198844813,-83.763128886181
640000,2025-09-05,"1220 MINGLEWOOD WAY, ANN ARBOR, MI 48103",3,1,2,1688,0.523,42.293697580587,-83.759973853993
5e+05,2025-09-05,"3081 OVERRIDGE DR, Ann Arbor, MI 48104",0,0,0,NA,0.461,42.263438848554,-83.697678027922
465000,2025-09-04,"2 HAVERHILL CT, ANN ARBOR, MI 48105",3,2,0,1628,NA,42.315423752755,-83.706878579256
NA,2025-09-04,"1128 MICHIGAN AV, Ann Arbor, MI 48104",4,1,1,1443,0.152,42.266999691106,-83.734895133414
6e+05,2025-09-04,"1506 GRANADA AV, Ann Arbor, MI 48103",3,1,0,1050,0.218,42.26208631578,-83.769846875161
550000,2025-09-04,"803 FIFTH ST, Ann Arbor, MI 48103",3,2,0,1332,0.153,42.271343608558,-83.755817596375
250000,2025-09-04,"555 E WILLIAM ST 10A, Ann Arbor, MI 48104",1,1,0,694,NA,42.27791325969,-83.742537269955
NA,2025-09-04,"443 PINE BRAE DR, ANN ARBOR, MI 48105",4,1,1,1606,0.638,42.278979185611,-83.680200836849
1,2025-09-04,"5 WESTBURY CT, ANN ARBOR, MI 48105",3,3,0,2056,NA,42.313900157119,-83.706575368623
1,2025-09-04,"5 WESTBURY CT, ANN ARBOR, MI 48105",3,3,0,2056,NA,42.313900157119,-83.706575368623
NA,2025-09-03,"3180 DWIGHT ST, Ann Arbor, MI 48108",3,1,0,912,0.233,42.242067478393,-83.718502560419
NA,2025-09-03,"1200 MILLER AVE, ANN ARBOR, MI 48103",2,2,1,1478,0.215,42.287482983403,-83.761850269623
1063500,2025-09-03,"2012 PONTIAC TRL, ANN ARBOR, MI 48105",3,1,0,2475,2,42.302626468983,-83.734975187424
NA,2025-09-03,"1413 GRANGER AV, Ann Arbor, MI 48104",3,2,1,1356,0.136,42.264507688558,-83.731064342272
625000,2025-09-03,"2225 TILSBY CT, Ann Arbor, MI 48103",4,1,2,2325,0.24,42.253098604292,-83.76119000512
401000,2025-09-03,"900 BARTON DR, ANN ARBOR, MI 48105",3,1,0,912,0.275,42.300070450402,-83.733130171679
NA,2025-09-02,"2674 SALISBURY LN, ANN ARBOR, MI 48103",0,0,0,NA,0.444,42.312271770576,-83.763105658751
NA,2025-09-02,"2686 SALISBURY LN, ANN ARBOR, MI 48103",4,1,2,3031,0.409,42.312256190897,-83.763516954792
NA,2025-09-02,"3052 LAKEHAVEN CT, ANN ARBOR, MI 48105",2,1,1,1260,NA,42.286154621797,-83.699033713131
NA,2025-09-02,"3052 LAKEHAVEN CT, ANN ARBOR, MI 48105",2,1,1,1260,NA,42.286154621797,-83.699033713131
NA,2025-09-02,"3052 LAKEHAVEN CT, ANN ARBOR, MI 48105",2,1,1,1260,NA,42.286154621797,-83.699033713131
NA,2025-09-02,"3084 CHARING CROSS RD, Ann Arbor, MI 48108",0,2,2,2284,1.467,42.243998438494,-83.689504389279
710000,2025-09-02,"2979 HAVRE ST, ANN ARBOR, MI 48105",0,2,1,2680,NA,42.31250647242,-83.735621535454
459900,2025-09-02,"803 JONES DR, ANN ARBOR, MI 48105",4,2,0,1499,0.114,42.292109058512,-83.73502434715
570000,2025-09-02,"808 PRINCETON AV, Ann Arbor, MI 48103",2,2,0,1056,0.135,42.272937215179,-83.757153600293
456405,2025-09-02,"2231 TRILLIUM LN 30, ANN ARBOR, MI 48104",0,1,0,792,NA,NA,NA
447700,2025-09-02,"2231 TRILLIUM LN 23, ANN ARBOR, MI 48104",0,1,0,794,NA,NA,NA
350000,2025-08-29,"2849 CANTERBURY RD, Ann Arbor, MI 48104",3,1,0,990,0.187,42.251992836738,-83.702756120248
475000,2025-08-29,"2551 ELMWOOD AV, Ann Arbor, MI 48104",4,2,0,2366,0.228,42.250494072512,-83.698866543858
450000,2025-08-29,"120 W WASHINGTON ST F, Ann Arbor, MI 48104",0,1,0,963,0.219,42.280572773603,-83.748815258716
465000,2025-08-29,"1842 SAXON ST, Ann Arbor, MI 48103",3,1,1,1336,0.228,42.257148815978,-83.776823320848
NA,2025-08-29,"1860 FRANKLIN ST, ANN ARBOR, MI 48103",3,1,1,1752,0.176,42.298989220172,-83.778931637602
533000,2025-08-29,"924 WOODLAWN AV, Ann Arbor, MI 48104",3,2,0,1122,0.106,42.264997212513,-83.737490562201
NA,2025-08-29,"1017 W MADISON ST, Ann Arbor, MI 48103",3,2,0,1910,0.203,42.273546249129,-83.760555728359
410000,2025-08-29,"2623 MEADE CT, ANN ARBOR, MI 48105",3,1,2,1500,NA,42.309980743552,-83.709029879942
915000,2025-08-29,"3078 N SPURWAY DR, ANN ARBOR, MI 48105",4,2,1,2716,NA,42.320868267968,-83.709381663049
616900,2025-08-29,"164 ASHLEY MEWS, Ann Arbor, MI 48104",0,2,0,1393,NA,NA,NA
912400,2025-08-29,"436 PINE BRAE DR, ANN ARBOR, MI 48105",4,2,3,3671,0.409,42.278683427148,-83.68008950113
618000,2025-08-29,"1115 HENRY ST, Ann Arbor, MI 48104",3,2,0,1584,0.11,42.261602892561,-83.735888209402
5e+05,2025-08-29,"315 SECOND ST 406, Ann Arbor, MI 48103",1,1,1,859,NA,NA,NA
588500,2025-08-29,"2990 STOKE WAY, ANN ARBOR, MI 48105",3,3,1,1866,NA,42.314944791579,-83.710687715755
6e+05,2025-08-29,"3099 MILLBURY LN, ANN ARBOR, MI 48105",3,2,1,2260,NA,42.321299534892,-83.70837537663
411345,2025-08-29,"2231 TRILLIUM LN 32, ANN ARBOR, MI 48104",0,1,0,794,NA,NA,NA
480000,2025-08-29,"646 DELLWOOD DR, ANN ARBOR, MI 48103",3,2,0,988,0.195,42.289800867613,-83.787037855488
525000,2025-08-29,"3201 KILBURN PARK CIR, ANN ARBOR, MI 48105",3,2,1,1676,0.139,42.320100915764,-83.695192123049
NA,2025-08-28,"1600 CAMBRIDGE RD, Ann Arbor, MI 48104",6,3,1,3357,0.342,42.270496637435,-83.728433044301
490000,2025-08-28,"2576 PACKARD ST, Ann Arbor, MI 48104",4,1,1,1560,0.207,42.248493088237,-83.720683982106
1,2025-08-28,"555 E WILLIAM ST 19K, Ann Arbor, MI 48104",0,1,0,390,NA,42.27791325969,-83.742537269955
NA,2025-08-28,"843 GREENHILLS DR, ANN ARBOR, MI 48105",3,1,2,1736,NA,NA,NA
